id,SoccerPenalty,HighJump,CricketBowling,HammerThrow,JavelinThrow,LongJump,VolleyballSpiking,BasketballDunk,CliffDiving,Diving,Billiards,BaseballPitch,CleanAndJerk,Shotput,ThrowDiscus,GolfSwing,PoleVault,CricketShot,FrisbeeCatch,TennisSwing
SoccerPenalty,63,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,3,0
HighJump,0,102,0,0,0,14,0,0,684,160,0,0,0,0,0,0,0,0,0,0
CricketBowling,0,0,66,0,0,0,0,0,73,0,0,0,0,0,0,0,0,29,0,0
HammerThrow,0,10,0,250,0,79,0,0,489,0,0,0,36,94,120,0,0,0,0,0
JavelinThrow,0,46,0,97,400,0,0,0,726,0,0,0,0,47,15,0,56,0,0,0
LongJump,0,21,0,0,0,168,0,0,269,0,0,0,0,0,0,0,0,0,0,0
VolleyballSpiking,0,0,0,0,0,0,125,0,97,0,0,0,0,0,0,0,0,0,0,0
BasketballDunk,0,0,0,0,0,0,19,218,312,0,0,0,0,0,0,0,0,0,0,0
CliffDiving,0,0,0,0,0,0,0,0,354,54,0,0,0,0,0,0,0,0,0,0
Diving,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Billiards,0,0,0,0,0,0,0,0,143,0,91,0,0,0,0,0,0,0,0,0
BaseballPitch,0,0,0,0,0,0,0,0,56,0,0,88,0,0,0,0,0,22,0,0
CleanAndJerk,0,0,0,0,0,0,0,0,177,0,0,0,173,0,0,0,0,0,0,0
Shotput,0,40,0,0,0,0,0,0,106,0,0,0,0,53,0,0,0,0,0,0
ThrowDiscus,0,0,0,0,0,68,0,0,13,0,0,0,9,5,8,0,0,0,0,0
GolfSwing,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,97,0,0,0,0
PoleVault,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,352,0,0,0
CricketShot,0,0,65,23,0,0,0,0,276,0,0,0,0,0,0,0,0,43,4,0
FrisbeeCatch,0,0,0,0,0,0,0,0,75,0,0,0,0,8,0,0,0,14,43,0
TennisSwing,0,0,0,0,19,0,0,0,63,0,0,0,0,0,0,0,0,0,0,117
